Guanacaste Wind Farm Costa Rica,Costa Rica,Operating Fully,10.7227,-85.2644,49.5,"Mogote, Canton of Bagaces, Guanacaste, Costa Rica",Mountain Plateau,55,245,,National Grid,Enerwinds de Costa Rica S.A.,90,,,Planta Eolica Guanacaste S.A.,,,http://cdm.unfccc.int/Projects/DB/DNV-CUK1290767325.42/view
Los Santos Wind Farm Costa Rica,Costa Rica,Operating Fully,9.783,-83.9925,12.75,"Los Santos, Cartago, Costa Rica",Mountain Ridge,15,42,4,National Grid,Cooperativa de Electrificacion Rural Los Santos (Coopesantos),,,Edificadora Beta,Cooperativa de Electrificacion Rural Los Santos,,,https://cdm.unfccc.int/Projects/DB/ERM-CVS1337868435.3/view
Tejona Wind Farm Costa Rica,Costa Rica,Operating Fully,10.5231,-84.9902,19.8,"8km north of Tilaran, Montecisto Ridge, Guanacaste, Costa Rica",Mountain Ridge,30,81,,National Grid,Instituto Costarricense de Electricidad (ICE),,,,Instituto Costarricense de Electricidad (ICE),,,http://cdm.unfccc.int/Projects/DB/TUEV-SUED1166705222.75/view
Tierras Morenas (MOVASA) Wind Farm Costa Rica,Costa Rica,Operating Fully,10.591,-85.037,24,"Tilaran, Montecisto Ridge, Guanacaste, Costa Rica",Please Select,32,68,,National Grid,ENEL Green Power (ERGA),,Private,Energía Global International Ltd. (EGI),Molinos de Viento del Arenal S.A. (MOVASA),,"DANIDA, a development agency of the Danish Government; CABEI, the Central American Bank for Economic Integration; and a consortium of five Costa Rican banks",http://www.enelgreenpower.com/es-ES/ela/power_plants/costarica/movasa/
Tilaran (PESA) Wind Farm Costa Rica,Costa Rica,Operating Fully,10.5193,-84.9846,19.8,"6km north of Tilaran, Montecisto Ridge, Guanacaste, Costa Rica",Grazing Land,55,71,,National Grid,Plantas Eolicas SA (PESA),,Private,,Plantas Eolicas SA (PESA),,,http://www.mesoamericaenergy.com/en/projects/costa-rica/plantas-eolicas-pesrl/technical-information-costa-rica.html
Agia Anna Wind Farm Cyprus,Cyprus,Operating Fully,34.96356,33.4928,20,"Agia Anna, Larnaca, Cyprus",Mountain Ridge,10,30.86,,National Grid,Rokas Aeoliki Cyprus Ltd,,,,Iberdrola Renovables,,,http://www.prenecon.com/index.php/en/Project-Presentation.html
Alexigros Wind Farm Cyprus,Cyprus,Operating Fully,34.8716,33.5195,34.5,"Larnaca, Cyprus",Mountain Ridge,23,42,2.5,National Grid,Ketonis Developments Ltd,,IPP,Wincono Cyprus Ltd.,Ketonis Developments Ltd,,China Development Bank,http://www.wincono.com/media/files/Alexigros-flyer.pdf
Kambi Wind Farm Cyprus,Cyprus,Operating Partially,34.8914,33.1229,2.4,"Kambi, Nicosia, Cyprus",Mountain Ridge,3,17.2,,National Grid,Aerotricity Ltd,,,,Aerotricity Ltd,,,http://aerotricity.net/nicosia/?page_id=218
Mari Wind Farm Cyprus,Cyprus,Please Select,34.7403,33.2906,6,"Larnaca, Cyprus",Please Select,4,11.3,,National Grid,Ketonis Developments Ltd.,100,,,,,,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1158659001.38/view
Orites Wind Farm Cyprus,Cyprus,Operating Fully,34.7359,32.6463,82,"Orites Mountain, Paphos, Cyprus",Mountain Ridge,41,,,National Grid,Platina Partners LLP,,IPP,DK Wind Supply Ltd,DK Wind Supply Ltd,,"Commerzbank, ING and NordLB, and the European Investment Bank (EIB)",http://wikimapia.org/16252079/Orites-Wind-Farm
Horni Lodenice Wind Farm Czech,Czech Republic,Operating Fully,49.7534,17.3561,18,"Horni Lodenice, Olomoucky, Czech",Farmland,9,,,Please Select,,,,,Vetrna Energy HL,,,http://www.internationalwindpower.net/index.php?id=486&L=1&tx_ttnews%5Btt_news%5D=108&tx_ttnews%5BbackPid%5D=1532&cHash=d3ce580790892375c4bd5e67198b30ef
